Cell line	Tissue Supergroup	Metastatic Tissue	Primary Tissue	Tissue Diagnosis	Age	Age Unit	Gender	Ethnicity	SNP Cluster Number	In Final Analysis Set	Growth Media	Freeze Media	CCLE ID	Sanger ID
NCI-H1395	Lung	NA	Lung	Adenocarcinoma	55	Years	Female	Caucasian	93	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine	FBS, 90%; DMSO, 10%	NCI-H1395	NCI-H1395
NCI-H1435	Lung	NA	Lung	Carcinoma Non-Small Cell	35	Years	Female	NA	499	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	NCI-H1435	NA
NCI-H1437	Lung	Effusion, Pleural	Lung	Carcinoma Non-Small Cell	60	Years	Male	Caucasian	149	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	NCI-H1437	NCI-H1437
NCI-H146	Lung	NA	Lung	Carcinoma Small Cell	NA	NA	Male	Caucasian	234	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	NCI-H146	NCI-H146
NCI-H1568	Lung	NA	Lung	Carcinoma Non-Small Cell	48	Years	Female	Caucasian	498	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	NCI-H1568	NA
NCI-H1573	Lung	NA	Lung	Adenocarcinoma	NA	NA	NA	NA	505	TRUE	ACL-4 media	Complete growth medium, 90%; DMSO, 10%	NCI-H1573	NCI-H1573
NCI-H1581	Lung	NA	Lung	Carcinoma Non-Small Cell	44	Years	Male	Caucasian	233	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	NCI-H1581	NA
NCI-H1623	Lung	NA	Lung	Carcinoma Non-Small Cell	58	Years	Male	Caucasian	92	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	NCI-H1623	NA
NCI-H1648	Lung	NA	Lung	Adenocarcinoma	39	Years	Male	African	185	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	NCI-H1648	NA
NCI-H1650	Lung	Effusion, Pleural	Lung	Adenocarcinoma	27	Years	Male	Caucasian	497	TRUE	RPMI-1640 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	NCI-H1650	NCI-H1650
NCI-H1651	Lung	NA	Lung	Carcinoma Non-Small Cell	71	Years	Male	NA	91	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine	90% FBS; 10% DMSO	NCI-H1651	NCI-H1651
NCI-H1666	Lung	Effusion, Pleural	Lung	Adenocarcinoma	50	Years	Female	Caucasian	496	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	NCI-H1666	NCI-H1666
NCI-H1693	Lung	NA	Lung	Carcinoma Non-Small Cell	55	Years	Female	Caucasian	504	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	NCI-H1693	NCI-H1693
NCI-H1703	Lung	NA	Lung	Carcinoma Non-Small Cell	54	Years	Male	Caucasian	363	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	NCI-H1703	NCI-H1703
NCI-H1734	Lung	NA	Lung	Carcinoma Non-Small Cell	56	Years	Female	NA	184	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	NCI-H1734	NA
NCI-H1770	Lung	NA	Lung	Carcinoma Non-Small Cell	57	Years	NA	Caucasian	394	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	NA	NCI-H1770
NCI-H1781	Lung	Effusion, Pleural	Lung	Adenocarcinoma	66	Years	Female	Caucasian	362	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	NCI-H1781	NA
NCI-H1792	Lung	NA	Lung	Adenocarcinoma	50	Years	Male	Caucasian	503	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	NCI-H1792	NCI-H1792
NCI-H1793	Lung	NA	Lung	Adenocarcinoma	52	Years	Female	NA	495	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	NCI-H1793	NCI-H1793
NCI-H1838	Lung	NA	Lung	Carcinoma Non-Small Cell	NA	NA	Female	NA	494	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	NCI-H1838	NCI-H1838
NCI-H1869	Lung	NA	Lung	Carcinoma Non-Small Cell	58	Years	Male	Caucasian	90	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	NCI-H1869	NA
NCI-H187	Lung	NA	Lung	Carcinoma Small Cell	47	Years	Male	Caucasian	89	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine	FBS, 90%; DMSO, 10%	NA	NA
NCI-H1882	Lung	NA	Lung	Carcinoma Small Cell	59	Years	Male	Caucasian	53	TRUE	HITES, 5% FBS	Complete growth medium, 90%; DMSO, 10%	NA	NA
NCI-H1915	Lung	NA	Lung	Carcinoma Non-Small Cell	61	Years	Female	Caucasian	183	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	NCI-H1915	NA
NCI-H1930	Lung	NA	Lung	Carcinoma Small Cell	41	Years	Male	Caucasian	88	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	NCI-H1930	NCI-H1930
NCI-H1944	Lung	Soft Tissue	Lung	Carcinoma Non-Small Cell	62	Years	Female	Caucasian	493	TRUE	RPMI-1640 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	NCI-H1944	NA
NCI-H196	Lung	Pleura	Lung	Carcinoma Small Cell	68	Years	Male	Caucasian	182	TRUE	RPMI-1640 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	NCI-H196	NA
NCI-H1975	Lung	NA	Lung	Adenocarcinoma	NA	NA	Female	NA	361	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	NCI-H1975	NCI-H1975
NCI-H2009	Lung	NA	Lung	Adenocarcinoma	68	Years	NA	Caucasian	360	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	NCI-H2009	NCI-H2009
NCI-H2023	Lung	Lymph Node	Lung	Carcinoma Non-Small Cell	26	NA	Male	Caucasian	148	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	NCI-H2023	NA
NCI-H2030	Lung	NA	Lung	Carcinoma Non-Small Cell	NA	NA	Male	NA	492	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	NCI-H2030	NCI-H2030
NCI-H2052	Other	NA	Pleura	Mesothelioma	NA	NA	NA	NA	83	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	NCI-H2052	NCI-H2052
NCI-H2073	Lung	NA	Lung	Adenocarcinoma	47	Years	Female	Caucasian	385	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	NCI-H2073	NA
NCI-H2081	Lung	NA	Lung	Carcinoma Small Cell	59	Years	Female	Caucasian	2	TRUE	HITES, 5% FBS	Complete growth medium, 90%; DMSO, 10%	NCI-H2081	NCI-H2081
NCI-H209	Lung	NA	Lung	Carcinoma Small Cell	NA	NA	Male	Caucasian	87	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	NCI-H209	NCI-H209
NCI-H2106	Lung	Lymph Node	Lung	Carcinoma Non-Small Cell	58	Years	Male	Caucasian	394	FALSE	RPMI-1640 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	NCI-H2106	NA
NCI-H2110	Lung	NA	Lung	Carcinoma Non-Small Cell	NA	NA	NA	NA	232	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	NCI-H2110	NA
NCI-H2122	Lung	Effusion, Pleural	Lung	Carcinoma Non-Small Cell	46	Years	Female	Caucasian	358	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine	FBS, 90%; DMSO, 10%	NCI-H2122	NA
NCI-H2126	Lung	Effusion, Pleural	Lung	Carcinoma Non-Small Cell	65	Years	Male	Caucasian	343	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	NCI-H2126	NCI-H2126
NCI-H2135	Lung	NA	Lung	Carcinoma Non-Small Cell	NA	NA	NA	NA	147	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	NA	NA
NCI-H2170	Lung	NA	Lung	Carcinoma Squamous Cell	NA	NA	Male	NA	146	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine	FBS, 90%; DMSO, 10%	NCI-H2170	NCI-H2170
NCI-H2171	Lung	Effusion, Pleural	Lung	Carcinoma Small Cell	50	Years	Male	Caucasian	86	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	NCI-H2171	NCI-H2171
NCI-H2172	Lung	NA	Lung	Carcinoma Non-Small Cell	NA	NA	Female	NA	9	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	NCI-H2172	NA
NCI-H2196	Lung	NA	Lung	Carcinoma Small Cell	67	Years	Male	Caucasian	11	FALSE	DMEM:F12, 5% FBS, 0.005 mg/ml insulin, 0.01 mg/ml Transferrin, 30nM Sodium selenite, 10nM Hydrocortisone, 10nM beta-estradiol, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	NCI-H2196	NCI-H2196
NCI-H2198	Lung	NA	Lung	Carcinoma Small Cell	67	Years	Male	Caucasian	11	TRUE	DMEM:F12, 5% FBS, 0.005 mg/ml insulin, 0.01 mg/ml Transferrin, 30nM Sodium selenite, 10nM Hydrocortisone, 10nM beta-estradiol, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	NA	NA
NCI-H2228	Lung	NA	Lung	Carcinoma Non-Small Cell	NA	NA	Female	NA	342	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	NCI-H2228	NCI-H2228
NCI-H226	Lung	Ascites	Lung	Mesothelioma	NA	NA	Male	NA	386	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	NCI-H226	NCI-H226
NCI-H23	Lung	NA	Lung	Carcinoma Non-Small Cell	51	Years	Male	African	226	FALSE	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	NCI-H23	NCI-H23
NCI-H2347	Lung	NA	Lung	Carcinoma Non-Small Cell	54	Years	Female	Caucasian	181	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	NCI-H2347	NCI-H2347
NCI-H2369	Lung	NA	Lung	Mesothelioma	NA	NA	NA	NA	78	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	NA	NA
NCI-H2373	Lung	NA	Lung	Mesothelioma	NA	NA	NA	NA	82	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	NA	NA
NCI-H2452	Lung	NA	Lung	Mesothelioma	NA	NA	NA	NA	81	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	NCI-H2452	NCI-H2452
NCI-H2461	Lung	NA	Lung	Mesothelioma	NA	NA	NA	NA	84	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	NA	NA
NCI-H2595	Lung	NA	Lung	Mesothelioma	NA	NA	NA	NA	79	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	NA	NA
NCI-H2596	Lung	NA	Lung	Mesothelioma	NA	NA	NA	NA	NA	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	NA	NA
NCI-H2722	Lung	NA	Lung	Mesothelioma	NA	NA	NA	NA	75	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	NA	NA
NCI-H2795	Lung	NA	Lung	Mesothelioma	NA	NA	NA	NA	31	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	NA	NA
NCI-H28	Other	NA	Pleura	Mesothelioma	NA	NA	NA	NA	80	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	NCI-H28	NCI-H28
NCI-H2803	Lung	NA	Lung	Mesothelioma	NA	NA	NA	NA	77	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	NA	NA
NCI-H2804	Lung	NA	Lung	Mesothelioma	NA	NA	NA	NA	76	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	NA	NA
NCI-H2810	Lung	NA	Lung	Mesothelioma	NA	NA	NA	NA	55	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	NA	NA
NCI-H292	Lung	NA	Lung	Carcinoma Mucoepidermoid	32	Years	Female	African	357	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	NCI-H292	NCI-H292
NCI-H322T	Lung	NA	Lung	Carcinoma Non-Small Cell	NA	NA	NA	NA	145	TRUE	RPMI-1640 10% FBS; 2mM L-Glutamine	90% FBS; 10% DMSO	NA	NA
NCI-H345	Lung	NA	Lung	Carcinoma Small Cell	64	Years	Male	Caucasian	85	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	NA	NCI-H345
NCI-H358	Lung	NA	Lung	Carcinoma Non-Small Cell	NA	NA	NA	NA	387	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	NCI-H358	NCI-H358
NCI-H441	Lung	NA	Lung	Adenocarcinoma Papillary	NA	NA	Male	NA	356	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	NCI-H441	NCI-H441
NCI-H446	Lung	NA	Lung	Carcinoma Small Cell	61	Years	Male	Caucasian	231	TRUE	RPMI-1640 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	NCI-H446	NCI-H446
NCI-H460	Lung	Effusion, Pleural	Lung	Carcinoma Large Cell	NA	NA	Male	NA	355	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	NCI-H460	NCI-H460
NCI-H510A	Lung	NA	Lung	Carcinoma Small Cell	56	Years	Male	Caucasian	1	TRUE	F-12K, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	NCI-H510	NCI-H510A
NCI-H520	Lung	NA	Lung	Carcinoma Squamous Cell	NA	NA	Male	NA	354	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	NCI-H520	NCI-H520
NCI-H522	Lung	NA	Lung	Carcinoma Non-Small Cell	58	Years	Male	Caucasian	341	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	NCI-H522	NCI-H522
NCI-H596	Lung	NA	Lung	Carcinoma Adenosquamous	73	Years	Male	Caucasian	340	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	NCI-H596	NCI-H596
NCI-H650	Lung	Lymph Node	Lung	Carcinoma Non-Small Cell	NA	NA	Male	NA	389	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	NCI-H650	NCI-H650
NCI-H716	Colo-Rectal	NA	Cecum	Adenocarcinoma	NA	NA	Male	Caucasian	100	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine	FBS, 90%; DMSO, 10%	NCI-H716	NCI-H716
NCI-H727	Lung	NA	Lung	Tumor Carcinoid	65	Years	Female	Caucasian	144	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	NCI-H727	NCI-H727
NCI-H810	Lung	NA	Lung	Carcinoma Non-Small Cell	51	Years	Male	African	180	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	NCI-H810	NCI-H810
NCI-H82	Lung	NA	Lung	Carcinoma Small Cell	40	Years	NA	Caucasian	143	TRUE	RPMI-1640 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	NCI-H82	NCI-H82
NCI-H820	Lung	NA	Lung	Adenocarcinoma	NA	NA	Male	Caucasian	179	TRUE	RPMI-1640 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	NA	NA
NCI-H847	Lung	NA	Lung	Carcinoma Small Cell	63	Years	Male	Caucasian	10	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	NA	NA
NCI-H889	Lung	NA	Lung	Carcinoma Small Cell	NA	NA	Female	Caucasian	230	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	NCI-H889	NCI-H889
NCI-H920	Lung	Lymph Node	Lung	Carcinoma Non-Small Cell	43	Years	Male	Caucasian	178	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	NA	NA
NCI-H929	Lymphoid	NA	Bone Marrow	Multiple Myeloma	NA	NA	NA	NA	374	TRUE	RPMI-1640, 10% HI FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	NCI-H929	NA
NCI-N417	Lung	NA	Lung	Carcinoma Small Cell	NA	NA	NA	NA	142	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	NA	NCI-N417
NCI-N87	Stomach	Liver	Stomach	Carcinoma	NA	NA	NA	NA	598	TRUE	RPMI-1640 10% FBS, 2mM L-Gln	Complete growth medium, 90%; DMSO, 10%	NCI-N87	NCI-N87
NIH:OVCAR-3	Ovary	NA	Ovary	Adenocarcinoma	NA	NA	Female	Caucasian	29	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	NIH:OVCAR-3	OVCAR-3
NTERA-2	Other	NA	Testis	Carcinoma	22	Years	Male	Caucasian	121	TRUE	McCoys 5A, 15% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	NA	NA
NU-DUL-1	Lymphoid	NA	Blood	Lymphoma B-cell	NA	NA	NA	NA	470	TRUE	RPMI-1640, 10% HI FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	NU-DUL-1	NA
NUGC-2	Stomach	NA	Stomach	Adenocarcinoma	56	Years	Female	NA	589	TRUE	RPMI-1640, 15% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	NUGC-2	NA
NUGC-3	Stomach	NA	Stomach	Adenocarcinoma	72	Years	Male	NA	588	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	NUGC-3	NUGC-3
NUGC-4	Stomach	NA	Stomach	Adenocarcinoma	35	Years	Female	NA	587	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	NUGC-4	NA
OAW28	Ovary	NA	Ovary	Cystadenocarcinoma Serous	NA	NA	Female	NA	436	TRUE	DMEM, 10% FBS, 2mM Gln, 1mM NaP, 20IU/L Bovine Insulin	Complete growth medium, 90%; DMSO, 10%	OAW28	OAW-28
OAW42	Ovary	NA	Ovary	Cystadenocarcinoma Serous	NA	NA	NA	NA	435	TRUE	DMEM, 10% FBS, 2mM Gln, 1mM NaP, 20IU/L Bovine Insulin	Complete growth medium, 90%; DMSO, 10%	OAW42	OAW-42
OCI-AML2	Lymphoid	NA	Blood	Leukemia Acute Myelogenic	NA	NA	NA	NA	576	TRUE	RPMI-1640, 10% HI FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	OCI-AML2	OCI-AML2
OCI-AML3	Lymphoid	NA	Blood	Leukemia Acute Myelogenic	NA	NA	NA	NA	575	TRUE	RPMI-1640, 10% HI FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	OCI-AML3	NA
OCI-AML5	Lymphoid	NA	Blood	Leukemia Acute Myelogenic	77	Years	Male	NA	574	TRUE	RPMI-1640 + 10% HI FBS + 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	OCI-AML5	NA
OCI-LY-10	Lymphoid	NA	Lymph Node	Lymphoma B-cell	NA	NA	NA	NA	469	TRUE	IMDM, 20% Fresh Human Serum, 2mM L-Glutamine, 50 uM 2-Mercaptoethanol	Complete growth medium, 90%; DMSO, 10%	OCI-LY10	NA
OCI-LY-19	Lymphoid	NA	Lymph Node	Lymphoma B-cell	27	Years	Female	NA	468	TRUE	alpha-MEM, 10% HI FBS, 2mM Glutamine	RPMI-1640, 20% HI FBS, 10% DMSO	OCI-LY-19	NA
OCI-LY-3	Lymphoid	NA	Lymph Node	Lymphoma B-cell	NA	NA	NA	NA	467	TRUE	IMDM, 20% Fresh Human Serum, 2mM L-Glutamine, 50 uM 2-Mercaptoethanol	Complete growth medium, 90%; DMSO, 10%	OCI-LY3	NA
OCI-LY-7	Lymphoid	NA	Lymph Node	Lymphoma B-cell	NA	NA	NA	NA	466	TRUE	#N/A	#N/A	NA	NA
OCI-M1	Lymphoid	NA	Blood	Leukemia Acute Myelogenic	NA	NA	NA	NA	573	TRUE	RPMI-1640, 10% HI FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	OCI-M1	NA
OCI-M2	Lymphoid	NA	Blood	Leukemia Acute Myelogenic	NA	NA	NA	NA	572	TRUE	RPMI-1640, 10% HI FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	NA	NA
OCUM-1	Stomach	NA	Stomach	Adenocarcinoma	38	Years	NA	Japanese	592	TRUE	DMEM, 10% FBS, 2mM L-Glutamine, 0.5mM NaP	Complete growth medium, 90%; DMSO, 10%	OCUM-1	NA
Okajima	Stomach	NA	Stomach	Adenocarcinoma	NA	NA	NA	NA	513	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	NA	NA
OPM-2	Lymphoid	NA	Blood	Multiple Myeloma	56	Years	Female	NA	373	TRUE	RPMI-1640, 10% Heat inactivated FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	OPM-2	OPM-2
OUMS-23	Colo-Rectal	NA	Colon	Adenocarcinoma	NA	NA	Male	NA	260	TRUE	DMEM, 10% FBS, 2mM Glutamine	Complete growth medium, 90%; DMSO, 10%	OUMS-23	NA
OV-90	Ovary	NA	Ovary	Adenocarcinoma Papillary Serous	NA	NA	Female	Caucasian	137	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine	90% FBS; DMSO, 10%	OV-90	NA
OV56	Ovary	NA	Ovary	Carcinoma	46	Years	Female	NA	434	TRUE	DMEM:Hams F12 (1:1), 5% FBS, 2mM Gln, 0.5ug/ml hydrocortisone, 10ug/ml insulin	90% FBS; 10% DMSO	OV56	NA
OV7	Ovary	NA	Ovary	Carcinoma	78	Years	Female	NA	138	TRUE	DMEM:HAMS F12 (1:1), 2mM Glutamine, 5% FBS, 0.5 ug/ml hydrocortisone, 10ug/ml insulin	Complete growth medium, 90%; DMSO, 10%	OV7	NA
OVCA 420	Ovary	NA	Ovary	Carcinoma	NA	NA	Female	NA	433	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine	90% FBS; 10% DMSO	NA	NA
OvCA 429	Ovary	NA	Ovary	Adenocarcinoma	NA	NA	Female	NA	393	FALSE	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	NA	NA
OvCA 432	Ovary	NA	Ovary	Carcinoma	NA	NA	Female	NA	136	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	NA	NA
OVCAR-4	Ovary	NA	Ovary	Adenocarcinoma	NA	NA	Female	NA	432	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	OVCAR-4	OVCAR-4
OVCAR-5	Ovary	NA	Ovary	Adenocarcinoma	NA	NA	Female	NA	431	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	NA	OVCAR-5
OVCAR-8	Ovary	NA	Ovary	Adenocarcinoma	NA	NA	Female	NA	430	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine	90% FBS; 10%DMSO	OVCAR-8	OVCAR-8
OVCAR433	Ovary	NA	Ovary	Carcinoma	NA	NA	Female	NA	393	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine	FBS, 90%; DMSO, 10%	NA	NA
OVISE	Ovary	NA	Ovary	Adenocarcinoma Clear Cell	40	Years	Female	Japanese	47	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	OVISE	NA
OVKATE	Ovary	NA	Ovary	Adenocarcinoma Papillary Serous	40	Years	Female	Japanese	21	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	OVKATE	NA
OVMANA	Ovary	NA	Ovary	Adenocarcinoma Clear Cell	NA	NA	NA	NA	20	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	OVMANA	NA
OVSAHO	Ovary	NA	Ovary	Adenocarcinoma Papillary Serous	NA	NA	NA	NA	28	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	OVSAHO	NA
OVTOKO	Ovary	NA	Ovary	Adenocarcinoma Clear Cell	78	Years	Female	Japanese	52	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	OVTOKO	NA
PA-1	Ovary	NA	Ovary	Carcinoma	NA	NA	NA	NA	225	TRUE	RPMI-1640 10% FBS, 2mM L-Gln	Complete growth medium, 90%; DMSO, 10%	NA	PA-1
PA-TU-8902	Pancreas	NA	Pancreas	Adenocarcinoma	NA	NA	NA	NA	412	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	PA-TU-8902	NA
PA-TU-8988S	Pancreas	NA	Pancreas	Adenocarcinoma	64	Years	Female	NA	318	FALSE	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	PA-TU-8988S	NA
